,Declaration Date,State,County,Start Date,End Date,Close Date,Year
19895,05/29/2000,FL,Levy County,05/29/2000,,09/15/2003,2000
19896,05/29/2000,FL,Marion County,05/29/2000,,09/15/2003,2000
19897,05/29/2000,FL,Putnam County,05/29/2000,,09/15/2003,2000
19898,05/30/2000,NM,San Miguel County,05/29/2000,07/31/2000,07/17/2002,2000
19899,06/02/2000,FL,Clay County,06/02/2000,,05/16/2004,2000
19900,06/02/2000,FL,Duval County,06/02/2000,,05/16/2004,2000
19901,06/02/2000,FL,Nassau County,06/02/2000,,05/16/2004,2000
19902,06/05/2000,FL,Baker County,06/05/2000,,09/16/2003,2000
19903,06/05/2000,FL,Bradford County,06/05/2000,,09/16/2003,2000
19904,06/05/2000,FL,Columbia County,06/05/2000,,09/16/2003,2000
19905,06/05/2000,FL,Hamilton County,06/05/2000,,09/16/2003,2000
19906,06/05/2000,FL,Suwannee County,06/05/2000,,09/16/2003,2000
19907,06/05/2000,FL,Union County,06/05/2000,,09/16/2003,2000
19908,06/09/2000,FL,Dixie County,06/09/2000,,09/16/2003,2000
19909,06/09/2000,FL,Lafayette County,06/09/2000,,09/16/2003,2000
19910,06/09/2000,FL,Madison County,06/09/2000,,09/16/2003,2000
19911,06/09/2000,FL,Taylor County,06/09/2000,,09/16/2003,2000
19912,06/12/2000,CO,Jefferson County,06/12/2000,06/25/2000,08/16/2006,2000
19913,06/12/2000,CO,Park County,06/12/2000,06/25/2000,08/16/2006,2000
19929,06/12/2000,CO,Larimer County,06/12/2000,06/24/2000,05/31/2006,2000
19930,06/15/2000,NM,Mora County,06/15/2000,06/21/2000,07/18/2002,2000
20022,06/30/2000,NV,Washoe County,06/28/2000,06/30/2000,05/29/2001,2000
20051,07/22/2000,WA,Okanogan County,07/22/2000,,06/30/2004,2000
20052,07/24/2000,MT,Broadwater County,07/24/2000,,06/20/2003,2000
20053,07/24/2000,MT,Jefferson County,07/24/2000,,06/20/2003,2000
20054,07/24/2000,MT,Lewis and Clark County,07/24/2000,,06/20/2003,2000
20055,07/24/2000,MT,Meagher County,07/24/2000,,06/20/2003,2000
20062,07/31/2000,WY,Natrona County,07/30/2000,08/03/2000,05/26/2010,2000
20063,08/01/2000,NV,Washoe County,08/01/2000,08/05/2000,04/01/2005,2000
20064,08/05/2000,MT,Deer Lodge County,08/05/2000,,04/08/2003,2000
20065,08/05/2000,MT,Granite County,08/05/2000,,04/08/2003,2000
20066,08/05/2000,MT,Mineral County,08/05/2000,,04/08/2003,2000
20067,08/05/2000,MT,Missoula County,08/05/2000,,04/08/2003,2000
20068,08/05/2000,MT,Powell County,08/05/2000,,04/08/2003,2000
20069,08/05/2000,MT,Ravalli County,08/05/2000,,04/08/2003,2000
20070,08/05/2000,MT,Silver Bow County,08/05/2000,,04/08/2003,2000
20071,08/08/2000,MT,Beaverhead County,08/08/2000,,04/09/2003,2000
20072,08/08/2000,MT,Madison County,08/08/2000,,04/09/2003,2000
20073,08/13/2000,SD,Fall River County,08/11/2000,08/20/2000,09/09/2004,2000
20074,08/14/2000,MT,Flathead County,08/14/2000,,04/10/2003,2000
20075,08/14/2000,MT,Lake County,08/14/2000,,04/10/2003,2000
20076,08/14/2000,MT,Lincoln County,08/14/2000,,04/10/2003,2000
20077,08/14/2000,MT,Sanders County,08/14/2000,,04/10/2003,2000
20078,08/16/2000,MT,Gallatin County,08/16/2000,,05/07/2003,2000
20079,08/16/2000,MT,Park County,08/16/2000,,05/07/2003,2000
20084,08/23/2000,TX,Nacogdoches County,08/23/2000,10/09/2000,05/25/2005,2000
20085,08/25/2000,SD,Custer County,08/24/2000,,11/04/2003,2000
20086,08/25/2000,WA,Klickitat County,08/23/2000,08/27/2000,06/30/2004,2000
20087,08/25/2000,WA,Yakima County,08/23/2000,08/27/2000,06/30/2004,2000
20088,08/26/2000,TX,Hill County,08/26/2000,08/29/2000,05/25/2005,2000
20089,08/28/2000,MT,Carbon County,08/28/2000,,06/27/2003,2000
20090,08/30/2000,MT,Blackfeet Indian Reservation,07/13/2000,09/25/2000,12/23/2008,2000
20091,08/30/2000,MT,Crow Indian Reservation,07/13/2000,09/25/2000,12/23/2008,2000
20092,08/30/2000,MT,Flathead Indian Reservation,07/13/2000,09/25/2000,12/23/2008,2000
20093,08/30/2000,MT,Fort Belknap Indian Reservation,07/13/2000,09/25/2000,12/23/2008,2000
20094,08/30/2000,MT,Northern Cheyenne Indian Reservation,07/13/2000,09/25/2000,12/23/2008,2000
20095,08/30/2000,MT,Rocky Boy's Indian Reservation,07/13/2000,09/25/2000,12/23/2008,2000
20096,08/30/2000,MT,Beaverhead County,07/13/2000,09/25/2000,12/23/2008,2000
20097,08/30/2000,MT,Big Horn County,07/13/2000,09/25/2000,12/23/2008,2000
20098,08/30/2000,MT,Blaine County,07/13/2000,09/25/2000,12/23/2008,2000
20099,08/30/2000,MT,Broadwater County,07/13/2000,09/25/2000,12/23/2008,2000
20100,08/30/2000,MT,Carbon County,07/13/2000,09/25/2000,12/23/2008,2000
20101,08/30/2000,MT,Carter County,07/13/2000,09/25/2000,12/23/2008,2000
20102,08/30/2000,MT,Cascade County,07/13/2000,09/25/2000,12/23/2008,2000
20103,08/30/2000,MT,Chouteau County,07/13/2000,09/25/2000,12/23/2008,2000
20104,08/30/2000,MT,Custer County,07/13/2000,09/25/2000,12/23/2008,2000
20105,08/30/2000,MT,Deer Lodge County,07/13/2000,09/25/2000,12/23/2008,2000
20106,08/30/2000,MT,Fallon County,07/13/2000,09/25/2000,12/23/2008,2000
20107,08/30/2000,MT,Fergus County,07/13/2000,09/25/2000,12/23/2008,2000
20108,08/30/2000,MT,Flathead County,07/13/2000,09/25/2000,12/23/2008,2000
20109,08/30/2000,MT,Gallatin County,07/13/2000,09/25/2000,12/23/2008,2000
20110,08/30/2000,MT,Garfield County,07/13/2000,09/25/2000,12/23/2008,2000
20111,08/30/2000,MT,Glacier County,07/13/2000,09/25/2000,12/23/2008,2000
20112,08/30/2000,MT,Golden Valley County,07/13/2000,09/25/2000,12/23/2008,2000
20113,08/30/2000,MT,Granite County,07/13/2000,09/25/2000,12/23/2008,2000
20114,08/30/2000,MT,Hill County,07/13/2000,09/25/2000,12/23/2008,2000
20115,08/30/2000,MT,Jefferson County,07/13/2000,09/25/2000,12/23/2008,2000
20116,08/30/2000,MT,Judith Basin County,07/13/2000,09/25/2000,12/23/2008,2000
20117,08/30/2000,MT,Lake County,07/13/2000,09/25/2000,12/23/2008,2000
20118,08/30/2000,MT,Lewis and Clark County,07/13/2000,09/25/2000,12/23/2008,2000
20119,08/30/2000,MT,Liberty County,07/13/2000,09/25/2000,12/23/2008,2000
20120,08/30/2000,MT,Lincoln County,07/13/2000,09/25/2000,12/23/2008,2000
20121,08/30/2000,MT,Madison County,07/13/2000,09/25/2000,12/23/2008,2000
20122,08/30/2000,MT,Meagher County,07/13/2000,09/25/2000,12/23/2008,2000
20123,08/30/2000,MT,Mineral County,07/13/2000,09/25/2000,12/23/2008,2000
20124,08/30/2000,MT,Missoula County,07/13/2000,09/25/2000,12/23/2008,2000
20125,08/30/2000,MT,Musselshell County,07/13/2000,09/25/2000,12/23/2008,2000
20126,08/30/2000,MT,Park County,07/13/2000,09/25/2000,12/23/2008,2000
20127,08/30/2000,MT,Petroleum County,07/13/2000,09/25/2000,12/23/2008,2000
20128,08/30/2000,MT,Phillips County,07/13/2000,09/25/2000,12/23/2008,2000
20129,08/30/2000,MT,Pondera County,07/13/2000,09/25/2000,12/23/2008,2000
20130,08/30/2000,MT,Powder River County,07/13/2000,09/25/2000,12/23/2008,2000
20131,08/30/2000,MT,Powell County,07/13/2000,09/25/2000,12/23/2008,2000
20132,08/30/2000,MT,Prairie County,07/13/2000,09/25/2000,12/23/2008,2000
20133,08/30/2000,MT,Ravalli County,07/13/2000,09/25/2000,12/23/2008,2000
20134,08/30/2000,MT,Rosebud County,07/13/2000,09/25/2000,12/23/2008,2000
20135,08/30/2000,MT,Sanders County,07/13/2000,09/25/2000,12/23/2008,2000
20136,08/30/2000,MT,Silver Bow County,07/13/2000,09/25/2000,12/23/2008,2000
20137,08/30/2000,MT,Stillwater County,07/13/2000,09/25/2000,12/23/2008,2000
20138,08/30/2000,MT,Sweet Grass County,07/13/2000,09/25/2000,12/23/2008,2000
20139,08/30/2000,MT,Teton County,07/13/2000,09/25/2000,12/23/2008,2000
20140,08/30/2000,MT,Toole County,07/13/2000,09/25/2000,12/23/2008,2000
20141,08/30/2000,MT,Treasure County,07/13/2000,09/25/2000,12/23/2008,2000
20142,08/30/2000,MT,Wheatland County,07/13/2000,09/25/2000,12/23/2008,2000
20143,08/30/2000,MT,Yellowstone County,07/13/2000,09/25/2000,12/23/2008,2000
20144,08/31/2000,TX,Eastland County,08/30/2000,09/13/2000,05/25/2005,2000
20145,09/01/2000,ID,Fort Hall Indian Reservation,07/27/2000,09/26/2000,12/11/2003,2000
20146,09/01/2000,ID,Ada County,07/27/2000,09/26/2000,12/11/2003,2000
20147,09/01/2000,ID,Bannock County,07/27/2000,09/26/2000,12/11/2003,2000
20148,09/01/2000,ID,Bingham County,07/27/2000,09/26/2000,12/11/2003,2000
20149,09/01/2000,ID,Blaine County,07/27/2000,09/26/2000,12/11/2003,2000
20150,09/01/2000,ID,Boise County,07/27/2000,09/26/2000,12/11/2003,2000
20151,09/01/2000,ID,Clearwater County,07/27/2000,09/26/2000,12/11/2003,2000
20152,09/01/2000,ID,Custer County,07/27/2000,09/26/2000,12/11/2003,2000
20153,09/01/2000,ID,Elmore County,07/27/2000,09/26/2000,12/11/2003,2000
20154,09/01/2000,ID,Idaho County,07/27/2000,09/26/2000,12/11/2003,2000
20155,09/01/2000,ID,Jerome County,07/27/2000,09/26/2000,12/11/2003,2000
20156,09/01/2000,ID,Lemhi County,07/27/2000,09/26/2000,12/11/2003,2000
20157,09/01/2000,ID,Lewis County,07/27/2000,09/26/2000,12/11/2003,2000
20158,09/01/2000,ID,Lincoln County,07/27/2000,09/26/2000,12/11/2003,2000
20159,09/01/2000,ID,Power County,07/27/2000,09/26/2000,12/11/2003,2000
20160,09/01/2000,ID,Valley County,07/27/2000,09/26/2000,12/11/2003,2000
20161,09/03/2000,TX,Newton County,09/03/2000,10/04/2000,05/25/2005,2000
20162,09/04/2000,TX,Liberty County,09/04/2000,09/08/2000,05/25/2005,2000
20163,09/05/2000,TX,Tyler County,09/04/2000,09/07/2000,05/25/2005,2000
20164,09/05/2000,TX,Montgomery County,09/04/2000,09/09/2000,05/25/2005,2000
20165,09/05/2000,TX,Kerr County,09/04/2000,09/05/2000,05/25/2005,2000
20166,09/07/2000,TX,Lampasas County,09/06/2000,09/08/2000,05/25/2005,2000
20167,09/07/2000,TX,Kendall County,09/06/2000,09/07/2000,05/25/2005,2000
20168,09/08/2000,TX,McCulloch County,09/08/2000,09/13/2000,05/25/2005,2000
20169,09/08/2000,TX,San Saba County,09/08/2000,09/13/2000,05/25/2005,2000
20170,09/10/2000,TX,Caldwell County,09/09/2000,09/10/2000,05/25/2005,2000
20171,09/11/2000,LA,Allen Parish,09/08/2000,09/22/2000,10/17/2002,2000
20172,09/11/2000,LA,Beauregard Parish,09/08/2000,09/22/2000,10/17/2002,2000
20173,09/11/2000,LA,Calcasieu Parish,09/08/2000,09/22/2000,10/17/2002,2000
20174,09/11/2000,LA,De Soto Parish,09/08/2000,09/22/2000,10/17/2002,2000
20175,09/11/2000,LA,Evangeline Parish,09/08/2000,09/22/2000,10/17/2002,2000
20176,09/11/2000,LA,Jefferson Davis Parish,09/08/2000,09/22/2000,10/17/2002,2000
20177,09/11/2000,LA,Natchitoches Parish,09/08/2000,09/22/2000,10/17/2002,2000
20178,09/11/2000,LA,Rapides Parish,09/08/2000,09/22/2000,10/17/2002,2000
20179,09/11/2000,LA,Red River Parish,09/08/2000,09/22/2000,10/17/2002,2000
20180,09/11/2000,LA,Sabine Parish,09/08/2000,09/22/2000,10/17/2002,2000
20181,09/11/2000,LA,Vernon Parish,09/08/2000,09/22/2000,10/17/2002,2000
20183,09/16/2000,CO,Boulder County,09/16/2000,09/20/2000,09/20/2006,2000
20184,09/17/2000,AL,Jefferson County,09/15/2000,,10/24/2002,2000
20185,09/18/2000,TX,Smith County,09/17/2000,09/18/2000,05/25/2005,2000
20186,09/19/2000,OK,Murray County,09/18/2000,10/05/2000,12/17/2002,2000
20187,09/21/2000,OK,Creek County,09/18/2000,09/25/2000,11/07/2002,2000
20188,09/21/2000,OK,Logan County,09/19/2000,10/02/2000,11/08/2002,2000
20199,10/03/2000,TX,Parker County,10/02/2000,10/03/2000,05/25/2005,2000
20267,10/20/2000,MN,Anoka County,10/19/2000,11/02/2000,05/04/2005,2000
20268,10/20/2000,MN,Chisago County,10/19/2000,11/02/2000,05/04/2005,2000
20269,10/20/2000,MN,Morrison County,10/19/2000,11/02/2000,05/04/2005,2000
20270,10/20/2000,MN,Pine County,10/19/2000,11/02/2000,05/04/2005,2000
20271,10/20/2000,MN,Washington County,10/19/2000,11/02/2000,05/04/2005,2000
20301,11/02/2000,TN,Anderson County,10/30/2000,,07/26/2002,2000
20302,11/02/2000,TN,Sevier County,10/30/2000,,07/26/2002,2000
20303,11/03/2000,TN,Fentress County,11/01/2000,,07/29/2002,2000
20304,11/03/2000,TN,Pickett County,11/01/2000,,07/29/2002,2000
20305,11/03/2000,TN,Grainger County,10/30/2000,,07/29/2002,2000
20306,11/03/2000,TN,Hancock County,10/30/2000,,07/29/2002,2000
20307,11/03/2000,TN,Hawkins County,10/30/2000,,07/29/2002,2000
20308,11/04/2000,KY,Bell County,10/30/2000,,09/29/2003,2000
20309,11/04/2000,KY,Clay County,10/30/2000,,09/29/2003,2000
20310,11/04/2000,KY,Harlan County,10/30/2000,,09/29/2003,2000
20311,11/04/2000,KY,Jackson County,10/30/2000,,09/29/2003,2000
20312,11/04/2000,KY,Knox County,10/30/2000,,09/29/2003,2000
20313,11/04/2000,KY,Laurel County,10/30/2000,,09/29/2003,2000
20314,11/04/2000,KY,Leslie County,10/30/2000,,09/29/2003,2000
20315,11/04/2000,KY,McCreary County,10/30/2000,,09/29/2003,2000
20316,11/04/2000,KY,Rockcastle County,10/30/2000,,09/29/2003,2000
20317,11/04/2000,KY,Whitley County,10/30/2000,,09/29/2003,2000
20318,11/04/2000,KY,Floyd County,10/30/2000,,09/29/2003,2000
20319,11/04/2000,KY,Johnson County,10/30/2000,,09/29/2003,2000
20320,11/04/2000,KY,Lawrence County,10/30/2000,,09/29/2003,2000
20321,11/04/2000,KY,Magoffin County,10/30/2000,,09/29/2003,2000
20322,11/04/2000,KY,Martin County,10/30/2000,,09/29/2003,2000
20323,11/04/2000,KY,Pike County,10/30/2000,,09/29/2003,2000
20594,01/05/2001,TX,Johnson County,08/28/2000,09/13/2000,09/07/2010,2001
20595,01/05/2001,TX,Hays County,09/04/2000,09/05/2000,09/07/2010,2001
20810,02/19/2001,FL,Glades County,02/19/2001,,09/16/2003,2001
20811,02/19/2001,FL,Highlands County,02/19/2001,,09/16/2003,2001
20812,02/19/2001,FL,Indian River County,02/19/2001,,09/16/2003,2001
20813,02/19/2001,FL,Martin County,02/19/2001,,09/16/2003,2001
20814,02/19/2001,FL,Okeechobee County,02/19/2001,,09/16/2003,2001
20815,02/19/2001,FL,Collier County,02/19/2001,,09/16/2003,2001
20816,02/19/2001,FL,Hendry County,02/19/2001,,09/16/2003,2001
20817,02/19/2001,FL,Lee County,02/19/2001,,09/16/2003,2001
20920,03/18/2001,FL,Hillsborough County,02/17/2001,,09/16/2010,2001
20921,03/18/2001,FL,Pinellas County,02/17/2001,,09/16/2010,2001
20922,03/18/2001,FL,Polk County,02/17/2001,,09/16/2010,2001
20966,04/17/2001,FL,Brevard County,04/16/2001,,09/16/2003,2001
20967,04/17/2001,FL,Orange County,04/16/2001,,09/16/2003,2001
20968,04/17/2001,FL,Osceola County,04/16/2001,,09/16/2003,2001
20975,04/18/2001,FL,Charlotte County,04/17/2001,,05/15/2004,2001
20976,04/18/2001,FL,DeSoto County,04/17/2001,,05/15/2004,2001
20977,04/18/2001,FL,Hardee County,04/17/2001,,05/15/2004,2001
20978,04/18/2001,FL,Manatee County,04/17/2001,,05/15/2004,2001
20979,04/18/2001,FL,Sarasota County,04/17/2001,,05/15/2004,2001
20980,04/25/2001,FL,Dade County,04/17/2001,,09/16/2003,2001
20981,04/25/2001,FL,Monroe County,04/17/2001,,09/16/2003,2001
21048,05/15/2001,FL,Walton County,05/14/2001,05/14/2001,09/16/2003,2001
21049,05/15/2001,FL,Washington County,05/14/2001,05/14/2001,09/16/2003,2001
21150,05/16/2001,FL,Escambia County,05/15/2001,,09/16/2003,2001
21210,05/23/2001,FL,Dixie County,05/23/2001,,06/06/2007,2001
21211,05/23/2001,FL,Lafayette County,05/23/2001,,06/06/2007,2001
21212,05/23/2001,GA,McIntosh County,05/17/2001,,09/30/2003,2001
21253,06/03/2001,NM,Lincoln County,06/02/2001,06/03/2001,06/07/2002,2001
21254,06/03/2001,NM,Otero County,06/02/2001,06/03/2001,06/07/2002,2001
21402,06/30/2001,AK,Tok ANV/ANVSA,06/29/2001,07/03/2001,11/06/2002,2001
21403,07/05/2001,NV,Elko County,07/05/2001,07/05/2001,08/20/2004,2001
21417,07/26/2001,WY,Teton County,07/26/2001,08/08/2001,03/20/2007,2001
21418,07/28/2001,WA,Chelan County,07/28/2001,08/04/2001,06/30/2004,2001
21419,08/01/2001,WY,Weston County,07/31/2001,08/08/2001,09/30/2005,2001
21420,08/01/2001,SD,Custer County,07/30/2001,,11/04/2003,2001
21421,08/09/2001,NV,Washoe County,08/09/2001,,08/20/2004,2001
21422,08/14/2001,WA,Chelan County,08/14/2001,08/21/2001,06/30/2004,2001
21423,08/14/2001,WA,Okanogan County,08/13/2001,08/29/2001,06/30/2004,2001
21424,08/14/2001,WA,Okanogan County,08/13/2001,08/21/2001,06/30/2004,2001
21425,08/15/2001,OR,Umatilla County,08/15/2001,08/19/2001,02/18/2004,2001
21454,08/16/2001,WA,Yakima County,08/15/2001,08/23/2001,06/30/2004,2001
21455,08/16/2001,WA,Okanogan County,08/14/2001,08/29/2001,06/30/2004,2001
21457,08/17/2001,OR,,08/17/2001,08/22/2001,02/19/2004,2001
21458,08/17/2001,WA,Chelan County,08/13/2001,08/31/2001,06/30/2004,2001
21459,08/17/2001,WA,Ferry County,08/16/2001,08/25/2001,06/30/2004,2001
21460,08/19/2001,UT,Utah County,08/18/2001,,06/17/2003,2001
21465,09/06/2001,WY,Crook County,09/05/2001,09/08/2001,09/30/2005,2001
21466,09/11/2001,NY,Albany County,09/11/2001,09/11/2001,,2001
21467,09/11/2001,NY,Allegany County,09/11/2001,09/11/2001,,2001
21468,09/11/2001,NY,Bronx County,09/11/2001,09/11/2001,,2001
21469,09/11/2001,NY,Broome County,09/11/2001,09/11/2001,,2001
21470,09/11/2001,NY,Cattaraugus County,09/11/2001,09/11/2001,,2001
21471,09/11/2001,NY,Cayuga County,09/11/2001,09/11/2001,,2001
21472,09/11/2001,NY,Chautauqua County,09/11/2001,09/11/2001,,2001
21473,09/11/2001,NY,Chemung County,09/11/2001,09/11/2001,,2001
21474,09/11/2001,NY,Chenango County,09/11/2001,09/11/2001,,2001
21475,09/11/2001,NY,Clinton County,09/11/2001,09/11/2001,,2001
21476,09/11/2001,NY,Columbia County,09/11/2001,09/11/2001,,2001
21477,09/11/2001,NY,Cortland County,09/11/2001,09/11/2001,,2001
21478,09/11/2001,NY,Delaware County,09/11/2001,09/11/2001,,2001
21479,09/11/2001,NY,Dutchess County,09/11/2001,09/11/2001,,2001
21480,09/11/2001,NY,Erie County,09/11/2001,09/11/2001,,2001
21481,09/11/2001,NY,Essex County,09/11/2001,09/11/2001,,2001
21482,09/11/2001,NY,Franklin County,09/11/2001,09/11/2001,,2001
21483,09/11/2001,NY,Fulton County,09/11/2001,09/11/2001,,2001
21484,09/11/2001,NY,Genesee County,09/11/2001,09/11/2001,,2001
21485,09/11/2001,NY,Greene County,09/11/2001,09/11/2001,,2001
21486,09/11/2001,NY,Hamilton County,09/11/2001,09/11/2001,,2001
21487,09/11/2001,NY,Herkimer County,09/11/2001,09/11/2001,,2001
21488,09/11/2001,NY,Jefferson County,09/11/2001,09/11/2001,,2001
21489,09/11/2001,NY,Kings County,09/11/2001,09/11/2001,,2001
21490,09/11/2001,NY,Lewis County,09/11/2001,09/11/2001,,2001
21491,09/11/2001,NY,Livingston County,09/11/2001,09/11/2001,,2001
21492,09/11/2001,NY,Madison County,09/11/2001,09/11/2001,,2001
21493,09/11/2001,NY,Monroe County,09/11/2001,09/11/2001,,2001
21494,09/11/2001,NY,Montgomery County,09/11/2001,09/11/2001,,2001
21495,09/11/2001,NY,Nassau County,09/11/2001,09/11/2001,,2001
21496,09/11/2001,NY,New York County,09/11/2001,09/11/2001,,2001
21497,09/11/2001,NY,Niagara County,09/11/2001,09/11/2001,,2001
21498,09/11/2001,NY,Oneida County,09/11/2001,09/11/2001,,2001
21499,09/11/2001,NY,Onondaga County,09/11/2001,09/11/2001,,2001
21500,09/11/2001,NY,Ontario County,09/11/2001,09/11/2001,,2001
21501,09/11/2001,NY,Orange County,09/11/2001,09/11/2001,,2001
21502,09/11/2001,NY,Orleans County,09/11/2001,09/11/2001,,2001
21503,09/11/2001,NY,Oswego County,09/11/2001,09/11/2001,,2001
21504,09/11/2001,NY,Otsego County,09/11/2001,09/11/2001,,2001
21505,09/11/2001,NY,Putnam County,09/11/2001,09/11/2001,,2001
21506,09/11/2001,NY,Queens County,09/11/2001,09/11/2001,,2001
21507,09/11/2001,NY,Rensselaer County,09/11/2001,09/11/2001,,2001
21508,09/11/2001,NY,Richmond County,09/11/2001,09/11/2001,,2001
21509,09/11/2001,NY,Rockland County,09/11/2001,09/11/2001,,2001
21510,09/11/2001,NY,St. Lawrence County,09/11/2001,09/11/2001,,2001
21511,09/11/2001,NY,Saratoga County,09/11/2001,09/11/2001,,2001
21512,09/11/2001,NY,Schenectady County,09/11/2001,09/11/2001,,2001
21513,09/11/2001,NY,Schoharie County,09/11/2001,09/11/2001,,2001
21514,09/11/2001,NY,Schuyler County,09/11/2001,09/11/2001,,2001
21515,09/11/2001,NY,Seneca County,09/11/2001,09/11/2001,,2001
21516,09/11/2001,NY,Steuben County,09/11/2001,09/11/2001,,2001
21517,09/11/2001,NY,Suffolk County,09/11/2001,09/11/2001,,2001
21518,09/11/2001,NY,Sullivan County,09/11/2001,09/11/2001,,2001
21519,09/11/2001,NY,Tioga County,09/11/2001,09/11/2001,,2001
21520,09/11/2001,NY,Tompkins County,09/11/2001,09/11/2001,,2001
21521,09/11/2001,NY,Ulster County,09/11/2001,09/11/2001,,2001
21522,09/11/2001,NY,Warren County,09/11/2001,09/11/2001,,2001
21523,09/11/2001,NY,Washington County,09/11/2001,09/11/2001,,2001
21524,09/11/2001,NY,Wayne County,09/11/2001,09/11/2001,,2001
21525,09/11/2001,NY,Westchester County,09/11/2001,09/11/2001,,2001
21526,09/11/2001,NY,Wyoming County,09/11/2001,09/11/2001,,2001
21527,09/11/2001,NY,Yates County,09/11/2001,09/11/2001,,2001
21528,09/12/2001,VA,Arlington County,09/11/2001,09/11/2001,05/26/2010,2001
21529,09/19/2001,NJ,Atlantic County,09/11/2001,09/11/2001,02/27/2012,2001
21530,09/19/2001,NJ,Bergen County,09/11/2001,09/11/2001,02/27/2012,2001
21531,09/19/2001,NJ,Burlington County,09/11/2001,09/11/2001,02/27/2012,2001
21532,09/19/2001,NJ,Camden County,09/11/2001,09/11/2001,02/27/2012,2001
21533,09/19/2001,NJ,Cape May County,09/11/2001,09/11/2001,02/27/2012,2001
21534,09/19/2001,NJ,Cumberland County,09/11/2001,09/11/2001,02/27/2012,2001
21535,09/19/2001,NJ,Essex County,09/11/2001,09/11/2001,02/27/2012,2001
21536,09/19/2001,NJ,Gloucester County,09/11/2001,09/11/2001,02/27/2012,2001
21537,09/19/2001,NJ,Hudson County,09/11/2001,09/11/2001,02/27/2012,2001
21538,09/19/2001,NJ,Hunterdon County,09/11/2001,09/11/2001,02/27/2012,2001
21539,09/19/2001,NJ,Mercer County,09/11/2001,09/11/2001,02/27/2012,2001
21540,09/19/2001,NJ,Middlesex County,09/11/2001,09/11/2001,02/27/2012,2001
21541,09/19/2001,NJ,Monmouth County,09/11/2001,09/11/2001,02/27/2012,2001
21542,09/19/2001,NJ,Morris County,09/11/2001,09/11/2001,02/27/2012,2001
21543,09/19/2001,NJ,Ocean County,09/11/2001,09/11/2001,02/27/2012,2001
21544,09/19/2001,NJ,Passaic County,09/11/2001,09/11/2001,02/27/2012,2001
21545,09/19/2001,NJ,Salem County,09/11/2001,09/11/2001,02/27/2012,2001
21546,09/19/2001,NJ,Somerset County,09/11/2001,09/11/2001,02/27/2012,2001
21547,09/19/2001,NJ,Sussex County,09/11/2001,09/11/2001,02/27/2012,2001
21548,09/19/2001,NJ,Union County,09/11/2001,09/11/2001,02/27/2012,2001
21549,09/19/2001,NJ,Warren County,09/11/2001,09/11/2001,02/27/2012,2001
21566,11/01/2001,CO,Larimer County,10/31/2001,11/03/2001,06/06/2003,2001
21567,11/02/2001,KY,Floyd County,11/02/2001,11/21/2001,09/30/2003,2001
21568,11/02/2001,KY,Johnson County,11/02/2001,11/21/2001,09/30/2003,2001
21569,11/02/2001,KY,Lawrence County,11/02/2001,11/21/2001,09/30/2003,2001
21570,11/02/2001,KY,Magoffin County,11/02/2001,11/21/2001,09/30/2003,2001
21571,11/02/2001,KY,Martin County,11/02/2001,11/21/2001,09/30/2003,2001
21572,11/02/2001,KY,Pike County,11/02/2001,11/21/2001,09/30/2003,2001
21573,11/02/2001,KY,Breathitt County,11/02/2001,,09/30/2003,2001
21574,11/02/2001,KY,Bell County,11/02/2001,,09/30/2003,2001
21575,11/02/2001,KY,Clay County,11/02/2001,,09/30/2003,2001
21576,11/02/2001,KY,Harlan County,11/02/2001,,09/30/2003,2001
21577,11/02/2001,KY,Jackson County,11/02/2001,,09/30/2003,2001
21578,11/02/2001,KY,Knox County,11/02/2001,,09/30/2003,2001
21579,11/02/2001,KY,Laurel County,11/02/2001,,09/30/2003,2001
21580,11/02/2001,KY,Leslie County,11/02/2001,,09/30/2003,2001
21581,11/02/2001,KY,McCreary County,11/02/2001,,09/30/2003,2001
21582,11/02/2001,KY,Rockcastle County,11/02/2001,,09/30/2003,2001
21583,11/02/2001,KY,Whitley County,11/02/2001,,09/30/2003,2001
21584,11/03/2001,TN,Bledsoe County,11/03/2001,,03/22/2004,2001
21585,11/03/2001,TN,Grundy County,11/03/2001,,03/22/2004,2001
21586,11/03/2001,TN,Marion County,11/03/2001,,03/22/2004,2001
21587,11/03/2001,TN,Polk County,11/03/2001,,03/22/2004,2001
21588,11/03/2001,TN,Rhea County,11/03/2001,,03/22/2004,2001
21589,11/03/2001,TN,Sequatchie County,11/03/2001,,03/22/2004,2001
21590,11/09/2001,SC,Horry County,11/07/2001,11/26/2001,05/22/2003,2001
21591,11/14/2001,TN,Sevier County,11/12/2001,,03/22/2004,2001
21592,11/16/2001,WV,Boone County,11/16/2001,11/30/2001,09/15/2003,2001
21593,11/16/2001,WV,Cabell County,11/16/2001,11/30/2001,09/15/2003,2001
21594,11/16/2001,WV,Clay County,11/16/2001,11/30/2001,09/15/2003,2001
21595,11/16/2001,WV,Kanawha County,11/16/2001,11/30/2001,09/15/2003,2001
21596,11/16/2001,WV,Lincoln County,11/16/2001,11/30/2001,09/15/2003,2001
21597,11/16/2001,WV,Logan County,11/16/2001,11/30/2001,09/15/2003,2001
21598,11/16/2001,WV,McDowell County,11/16/2001,11/30/2001,09/15/2003,2001
21599,11/16/2001,WV,Mercer County,11/16/2001,11/30/2001,09/15/2003,2001
